d000.s000.t000 bn:00028018n
d000.s000.t001 bn:00075142n
d000.s000.t002 bn:00102440a
d000.s000.t003 bn:00109212a
d000.s000.t004 bn:00006502n
d000.s000.t005 bn:00000739n
d000.s001.t000 bn:00087869v
d000.s001.t001 bn:00019284n
d000.s001.t002 bn:00106556a
d000.s001.t003 bn:00016309n
d000.s001.t004 bn:00104384a
d000.s001.t005 bn:00030917n
d000.s001.t006 bn:00082854v
d000.s001.t007 bn:00074795n
d000.s001.t008 bn:00087108v
d000.s001.t009 bn:00087917v
d000.s001.t010 bn:00060926n
d000.s001.t011 bn:00082705v
d000.s001.t012 bn:00054134n
d000.s002.t000 bn:00082822v
d000.s002.t001 bn:00106935a
d000.s002.t002 bn:00031060n
d000.s002.t003 bn:00096582a
d000.s002.t004 bn:00021647n
d000.s002.t005 bn:00027523n
d000.s002.t006 bn:00089841v
d000.s002.t007 bn:00021497n
d000.s002.t008 bn:00012133n
d000.s002.t009 bn:00114246r
d000.s002.t010 bn:00022269n
d000.s002.t011 bn:00082348v
d000.s002.t012 bn:00027995n
d000.s002.t013 bn:00004992n
d000.s003.t000 bn:00095629v
d000.s003.t001 bn:00106935a
d000.s003.t002 bn:00031060n
d000.s003.t003 bn:00008790n
d000.s003.t004 bn:00060926n
d000.s003.t005 bn:00089841v
d000.s003.t006 bn:00110176a
d000.s003.t007 bn:00027544n
d000.s003.t008 bn:00114246r
d000.s003.t009 bn:00022269n
d000.s005.t000 bn:00063926n
d000.s005.t001 bn:00090603v
d000.s005.t002 bn:00072762n
d000.s005.t003 bn:00046735n
d000.s005.t004 bn:00046735n
d000.s005.t005 bn:00057344n
d000.s006.t000 bn:00082785v
d000.s006.t001 bn:00096388a
d000.s006.t002 bn:00074985n
d000.s007.t000 bn:00082705v
d000.s008.t000 bn:00082705v
d000.s008.t001 bn:00095141v
d000.s008.t002 bn:00078802n
d000.s008.t003 bn:00015184n
d000.s008.t004 bn:00108692a
d000.s008.t005 bn:00054512n
d000.s008.t006 bn:00015184n
d000.s008.t007 bn:00051399n
d000.s008.t008 bn:00052341n
d000.s008.t009 bn:00114778r
d000.s008.t010 bn:00084700v
d000.s008.t011 bn:00032375n
d000.s008.t012 bn:00006236n
d000.s009.t000 bn:00082705v
d000.s009.t001 bn:00114766r
d000.s009.t002 bn:00097220a
d000.s009.t003 bn:00054134n
d000.s009.t004 bn:00015184n
d000.s009.t005 bn:00092786v
d000.s009.t006 bn:00075397n
d000.s009.t007 bn:00096872a
d000.s009.t008 bn:00096872a
d000.s009.t009 bn:00093332v
d000.s009.t010 bn:00105984a
d000.s009.t011 bn:00093332v
d000.s009.t012 bn:00115155r
d000.s009.t013 bn:00108013a
d000.s009.t014 bn:00022269n
d000.s009.t015 bn:00011754n
d000.s009.t016 bn:00001742n
d000.s009.t017 bn:00116360r
d000.s009.t018 bn:00091603v
d000.s009.t019 bn:00018141n
d000.s009.t020 bn:00054134n
d000.s009.t021 bn:00015184n
d000.s009.t022 bn:00096526a
d000.s009.t023 bn:00106664a
d000.s009.t024 bn:00017031n
d000.s009.t025 bn:00052343n
d000.s009.t026 bn:00116360r
d000.s009.t027 bn:00082430v
d000.s009.t028 bn:00073708n
d000.s010.t000 bn:00082705v
d000.s010.t001 bn:00020878n
d000.s010.t002 bn:00001742n
d000.s010.t003 bn:00116360r
d000.s010.t004 bn:00095141v
d000.s010.t005 bn:00001742n
d000.s010.t006 bn:00091603v
d000.s010.t007 bn:00078802n
d000.s010.t008 bn:00018141n
d000.s010.t009 bn:00060927n
d000.s011.t000 bn:00054134n
d000.s011.t001 bn:00116447r
d000.s011.t002 bn:00089389v
d000.s011.t003 bn:00064193n
d000.s012.t000 bn:00082705v
d000.s013.t000 bn:00116447r
d000.s013.t001 bn:00087734v
d000.s013.t002 bn:00059908n
d000.s013.t003 bn:00027995n
d000.s013.t004 bn:00030917n
d000.s013.t005 bn:00097220a
d000.s013.t006 bn:00018141n
